dat_ref,age,income,credit_score,loan_amount,interest_rate,debt_to_income,employment_status,loan_purpose,home_ownership,prediction,prediction_score,target
2025-09-01,40.145645,92219.836,709.8555,15513.254,11.1693535,0.26563317,unemployed,auto,own,1,0.5101677,1
2025-09-01,36.860065,44200.406,700.5618,4303.687,10.1274805,0.35695654,employed,home,rent,1,0.7728624,1
2025-09-01,37.7744,65486.277,615.58984,1000.0,7.321714,0.2802287,employed,personal,rent,0,0.2589158,0
2025-09-01,48.38771,26342.537,638.71967,29106.135,10.141168,0.24171555,unemployed,personal,rent,1,0.7357867,0
2025-09-01,46.38533,130408.8,615.1338,15196.882,8.524325,0.35203576,employed,auto,mortgage,0,0.5295741,0
2025-09-01,46.952793,34798.82,719.7218,30940.822,11.882801,0.2789455,self_employed,home,mortgage,0,0.15632229,0
2025-09-01,47.169853,107048.97,634.77893,25304.951,13.04345,0.45750833,employed,home,mortgage,0,0.30756325,0
2025-09-01,67.69977,50268.23,667.52594,38833.87,14.660592,0.18570353,employed,home,mortgage,0,0.38371807,0
2025-09-01,37.12302,80476.78,603.35974,24270.986,11.54525,0.24874967,employed,personal,mortgage,0,0.6642261,0
2025-09-01,35.85309,64807.707,648.5889,20490.389,8.083156,0.1360117,employed,personal,rent,1,0.5936498,1
2025-09-01,32.234726,61205.918,788.9022,46524.074,12.598215,0.24296162,employed,education,own,0,0.6408248,0
2025-09-01,49.391754,83381.016,654.6148,10708.374,14.8363285,0.055067733,employed,personal,rent,1,0.6985714,1
2025-09-01,55.54767,56547.617,569.62024,2735.5596,7.845892,0.37143192,employed,personal,rent,1,0.68892497,1
2025-09-01,40.63263,26823.443,769.1695,10829.233,7.9656506,0.47637796,self_employed,personal,rent,0,0.3347079,0
2025-09-01,31.918121,67358.33,749.5635,46685.707,7.252286,0.33298215,employed,personal,mortgage,0,0.19238709,0
2025-09-01,32.106224,103204.59,753.5803,1000.0,6.4967065,0.31607896,employed,home,rent,1,0.9753989,1
2025-09-01,49.807114,72461.91,731.4132,21113.227,8.416771,0.30680683,employed,personal,rent,0,0.48959354,0
2025-09-01,50.91905,45676.992,747.0813,18857.979,8.6714945,0.42373115,self_employed,personal,rent,0,0.20338754,0
2025-09-01,48.517853,149425.2,602.28503,30096.176,12.548183,0.34322062,employed,business,mortgage,0,0.38841772,0
2025-09-01,34.01388,72232.43,681.9479,28355.14,17.065865,0.23703405,employed,auto,own,0,0.580524,0
2025-09-01,44.785934,48188.46,696.50024,13074.212,13.654485,0.56900066,employed,education,mortgage,1,0.82177234,1
2025-09-01,43.40023,132151.0,791.27576,17859.787,2.5,0.2868719,employed,auto,rent,0,0.747248,0
2025-09-01,44.624264,23501.426,586.7384,38179.223,3.8387685,0.3467831,employed,home,own,0,0.62629324,0
2025-09-01,52.457146,45897.652,588.93744,16525.514,11.727451,0.2582625,self_employed,personal,own,0,0.27429342,0
2025-09-01,44.683147,100604.4,705.5683,24743.477,8.956285,0.4379867,employed,auto,own,0,0.7219483,0
2025-09-01,50.14696,45435.902,689.277,40764.438,4.049455,0.33315343,employed,personal,own,0,0.45942077,0
2025-09-01,42.810947,92459.17,774.1219,17917.625,8.612367,0.23697835,unemployed,auto,mortgage,0,0.17741522,0
2025-09-01,45.469433,96032.53,666.1728,37010.17,11.242745,0.31360778,employed,personal,mortgage,1,0.7813603,1
2025-09-01,49.57546,129919.195,634.9174,20968.643,11.091401,0.49376142,employed,business,rent,1,0.78319216,1
2025-09-01,24.51413,101759.69,730.76996,25402.084,5.343651,0.0738559,unemployed,home,mortgage,0,0.6928524,0
2025-09-01,38.163944,59173.793,652.06946,31082.152,11.982344,0.4114297,self_employed,business,own,0,0.2883007,0
2025-09-01,36.35553,51379.188,644.73596,25720.256,8.909779,0.47037277,employed,personal,rent,0,0.28916195,0
2025-09-01,34.333466,42432.902,650.2098,1000.0,8.107523,0.41769552,employed,home,own,1,0.6444723,1
2025-09-01,38.69829,40738.86,788.32416,22644.262,5.121987,0.5500946,employed,auto,mortgage,1,0.8672212,1
2025-09-01,59.939297,83034.44,734.9557,31170.494,18.990023,0.39778835,employed,personal,mortgage,0,0.2280303,0
2025-09-01,31.610027,22235.19,657.2184,43366.17,4.3883986,0.46137407,employed,home,mortgage,1,0.66018903,0
2025-09-01,53.61934,76514.09,791.58997,7375.9644,11.176237,0.20600808,employed,auto,mortgage,0,0.47746125,0
2025-09-01,21.805563,17986.64,718.6035,37641.54,9.085502,0.32855532,employed,personal,mortgage,0,0.39689866,0
2025-09-01,37.98138,79201.68,643.0421,37781.55,3.0800548,0.35693547,employed,personal,mortgage,0,0.06511848,0
2025-09-01,43.953037,56670.086,698.24713,24102.115,16.132307,0.22526851,employed,auto,mortgage,1,0.8667902,1
2025-09-01,49.034668,89721.81,754.22504,26651.877,4.5791955,0.43278348,self_employed,personal,mortgage,0,0.35202223,1
2025-09-01,50.534718,12000.0,626.3729,25368.408,4.5400352,0.2922133,employed,auto,mortgage,0,0.06244095,0
2025-09-01,51.52017,98508.48,708.0362,36168.61,10.401402,0.27267504,employed,auto,rent,0,0.1916,0
2025-09-01,37.8153,72297.1,600.65137,29469.87,13.527931,0.22447151,employed,auto,rent,1,0.79173213,1
2025-09-01,36.45178,58886.17,783.7801,13880.738,6.601029,0.1375701,self_employed,education,own,0,0.21529758,0
2025-09-01,52.29571,86648.016,655.24396,29024.256,11.390383,0.37555987,unemployed,personal,own,0,0.60652673,0
2025-09-01,39.70435,84469.86,717.43024,41471.516,13.273353,0.33912528,employed,personal,rent,0,0.17912094,0
2025-09-01,26.691765,33432.41,702.58716,1000.0,10.359585,0.3778633,self_employed,personal,own,1,0.4099181,1
2025-09-01,28.400553,76397.99,786.9972,22462.965,7.4614325,0.3944003,self_employed,business,mortgage,1,0.8566905,1
2025-09-01,30.966572,92500.94,667.5333,14914.929,7.5368648,0.06537757,employed,auto,mortgage,1,0.783536,1
2025-09-01,47.965927,27394.768,688.21497,44997.832,8.920473,0.46784478,employed,auto,own,0,0.66506773,0
2025-09-01,43.70911,77714.35,752.4677,35157.14,11.144101,0.39979404,self_employed,education,mortgage,1,0.57298166,1
2025-09-01,50.285824,105715.17,841.17633,21193.523,12.382372,0.21090493,employed,education,own,0,0.3131896,0
2025-09-01,36.872967,76784.06,753.9029,17792.213,9.978294,0.28435153,employed,personal,mortgage,0,0.13110866,1
2025-09-01,43.902477,58833.902,726.5566,30127.19,9.585076,0.23023155,employed,personal,mortgage,0,0.41466767,0
2025-09-01,49.507084,33661.58,703.1067,27666.29,11.78413,0.622117,unemployed,personal,mortgage,1,0.8775495,1
2025-09-01,38.28784,41204.383,575.089,22514.957,7.151174,0.5315384,self_employed,personal,mortgage,0,0.5421989,0
2025-09-01,47.481304,60658.914,630.7128,42891.32,4.598886,0.30758446,self_employed,education,mortgage,1,0.8087601,1
2025-09-01,34.05689,93746.1,684.5404,26007.469,11.315758,0.05,employed,auto,mortgage,1,0.4259729,1
2025-09-01,37.643353,88598.28,792.3412,16421.422,13.032728,0.49278575,employed,business,mortgage,1,0.48262638,0
2025-09-01,37.419144,60791.418,588.0802,1000.0,3.7085886,0.26888788,self_employed,personal,rent,0,0.29361513,0
2025-09-01,27.649923,48846.992,685.5542,24254.746,5.6936297,0.2553925,employed,education,own,0,0.008207371,0
2025-09-01,47.84367,54887.72,554.28436,40042.816,5.4919877,0.43740988,employed,business,mortgage,0,0.21021311,0
2025-09-01,36.367172,104341.32,680.759,23194.076,4.762181,0.22143497,employed,auto,own,1,0.65960574,1
2025-09-01,42.14993,29235.719,608.01086,1000.0,9.370224,0.33628577,employed,education,rent,1,0.43499422,1
2025-09-01,47.76896,72446.4,675.7222,37995.293,5.6587243,0.30655676,employed,home,own,0,0.73883003,0
2025-09-01,47.358376,56727.39,546.2919,11732.408,8.818041,0.5286102,employed,personal,rent,0,0.45879635,0
2025-09-01,49.984623,89811.484,608.0871,23407.672,7.230844,0.46660745,employed,personal,rent,1,0.54872197,1
2025-09-01,40.818172,65066.926,741.2452,1371.5602,9.441841,0.47596034,self_employed,personal,rent,0,0.06787934,0
2025-09-01,36.92042,35636.348,666.99915,1000.0,6.743477,0.25328657,self_employed,education,own,1,0.8821006,1
2025-09-01,41.04338,115047.01,683.99414,27450.992,8.605813,0.29467735,unemployed,home,rent,0,0.3410744,0
2025-09-01,21.751987,76850.39,693.4156,28744.137,4.2836456,0.32755452,unemployed,business,rent,1,0.93321854,1
2025-09-01,24.634651,75229.664,692.25574,26576.586,8.2893095,0.2726644,employed,personal,rent,0,0.26751846,0
2025-09-01,26.127605,31554.53,640.62616,27143.328,6.330314,0.093141705,self_employed,auto,mortgage,0,0.57624996,0
2025-09-01,30.033037,61492.176,779.93646,40308.14,2.5,0.43817177,employed,auto,mortgage,0,0.34099182,0
2025-09-01,46.79729,50059.484,846.89703,33267.445,10.620585,0.11880645,employed,personal,mortgage,1,0.84446025,1
2025-09-01,31.13425,68071.77,639.54865,32097.838,13.436316,0.19861767,employed,auto,rent,0,0.5702323,0
2025-09-01,37.462048,17978.906,716.5874,1000.0,10.490561,0.46971473,unemployed,home,own,0,0.5106279,0
2025-09-01,57.59074,74141.484,746.2953,40757.887,12.044234,0.30635953,employed,personal,own,0,0.3002971,0
2025-09-01,37.72483,93840.22,728.0226,28032.4,6.9832244,0.3436044,employed,personal,own,0,0.35689962,0
2025-09-01,50.850185,55181.47,720.856,10713.89,7.9622397,0.3452163,employed,personal,mortgage,1,0.85467106,1
2025-09-01,30.796587,78182.44,696.1107,25640.135,4.87841,0.20883092,employed,education,mortgage,1,0.73113775,1
2025-09-01,39.534748,41504.137,696.80884,28180.504,16.669695,0.2119542,employed,auto,own,0,0.5670704,0
2025-09-01,30.599735,117698.23,682.2856,8400.379,8.113673,0.2877982,self_employed,auto,mortgage,0,0.4709476,0
2025-09-01,37.931602,42000.645,767.55206,39683.863,10.337345,0.49735752,employed,business,own,0,0.23765217,0
2025-09-01,52.0837,65301.016,651.5164,8091.685,10.083327,0.41640913,employed,auto,own,0,0.32387185,0
2025-09-01,21.272156,48091.21,607.09534,2519.58,7.5741053,0.062190134,self_employed,personal,own,1,0.48152673,1
2025-09-01,47.213085,44452.684,639.8034,8528.808,12.132503,0.2850476,unemployed,personal,mortgage,0,0.16977504,0
2025-09-01,44.85283,115095.72,763.4184,54125.69,11.54527,0.39114165,employed,auto,rent,0,0.5251545,1
2025-09-01,34.8702,112064.76,625.4481,16574.16,9.539675,0.3692406,employed,home,mortgage,0,0.3030289,0
2025-09-01,24.647306,56994.027,760.3318,8313.849,9.654559,0.3547952,unemployed,auto,mortgage,1,0.58737445,1
2025-09-01,42.865555,166889.12,705.19586,9735.606,7.3535733,0.22724268,employed,personal,rent,1,0.89465714,1
2025-09-01,35.646088,102175.06,679.29065,16317.396,11.070727,0.16508482,employed,auto,rent,0,0.1736893,0
2025-09-01,44.792114,99797.05,671.6057,27841.246,12.980443,0.25299996,self_employed,personal,mortgage,0,0.6607736,1
2025-09-01,42.262226,71608.27,695.97144,21776.816,12.88806,0.33332705,employed,personal,rent,1,0.8002011,1
2025-09-01,61.221348,104777.7,739.98553,37521.992,10.341358,0.2470805,unemployed,auto,rent,1,0.69337994,1
2025-09-01,39.12773,74946.46,658.5258,36742.957,9.293231,0.48304975,employed,auto,mortgage,0,0.55768156,0
2025-09-01,29.71803,43845.598,608.17395,18636.45,9.02212,0.45552647,employed,auto,rent,0,0.25792214,0
2025-09-01,44.151306,70888.26,789.7919,36060.25,14.590885,0.3300912,employed,personal,own,1,0.8543648,1
2025-09-01,44.63996,59063.37,810.96893,5645.674,16.724247,0.26825184,self_employed,home,mortgage,0,0.32992825,0
2025-09-01,58.31025,36968.883,751.1753,30237.025,8.192392,0.23222443,employed,personal,mortgage,0,0.17304397,1
2025-09-01,52.021336,99868.04,718.64056,25522.295,4.990795,0.24742936,self_employed,education,mortgage,0,0.40838924,0
2025-09-01,46.28245,76470.06,733.6895,7645.7944,11.596628,0.2421135,employed,education,mortgage,1,0.7368566,1
2025-09-01,59.559635,69673.08,637.5275,14143.151,6.7787447,0.31059805,employed,education,rent,1,0.49527237,1
2025-09-01,27.734844,120702.17,666.7157,33435.24,8.0160885,0.5095019,self_employed,education,mortgage,0,0.16719048,0
2025-09-01,34.322983,76446.21,846.53864,32119.5,6.892443,0.22092599,employed,auto,mortgage,1,0.85308564,1
2025-09-01,30.881088,106425.46,616.721,31525.072,6.324166,0.2762075,employed,personal,own,0,0.2906267,0
2025-09-01,37.32228,42346.133,708.896,1000.0,6.939564,0.54214495,employed,education,own,0,0.38835266,0
2025-09-01,25.479767,49816.06,667.63806,35519.625,8.96229,0.25820065,self_employed,home,mortgage,0,0.14808992,0
2025-09-01,49.62181,71961.02,684.2842,10001.332,11.759676,0.35056478,employed,education,mortgage,1,0.5113286,1
2025-09-01,39.33333,74661.77,656.38214,20108.266,8.383664,0.37942538,unemployed,auto,own,0,0.254558,0
2025-09-01,24.350325,80299.164,656.34296,31663.26,11.094796,0.49875197,employed,education,own,0,0.36508352,0
2025-09-01,29.813051,100052.56,589.255,1000.0,12.010304,0.26373708,employed,education,mortgage,0,0.1431088,0
2025-09-01,45.762165,173312.77,725.15173,12326.453,5.760444,0.29188353,self_employed,home,rent,0,0.24144371,0
2025-09-01,52.057518,26816.252,662.9115,32235.2,10.502428,0.57310736,employed,auto,mortgage,1,0.55020547,1
2025-09-01,65.96077,54847.93,696.789,1000.0,10.136814,0.35598248,employed,personal,rent,0,0.33008307,0
2025-09-01,76.96635,83200.37,740.30664,20579.32,10.092718,0.3419532,unemployed,home,rent,0,0.044301055,0
2025-09-01,46.97291,126658.46,609.53485,18739.92,6.95283,0.32939532,employed,auto,mortgage,0,0.5409602,0
2025-09-01,30.125542,65641.0,663.7938,9652.531,8.007954,0.53369313,employed,auto,rent,0,0.32358846,0
2025-09-01,18.0,71370.65,631.4322,29125.777,7.1601844,0.2993209,employed,auto,mortgage,1,0.5341061,1
2025-09-01,45.212536,60465.094,689.7982,45946.883,4.9815803,0.29892987,employed,home,mortgage,0,0.64327615,0
2025-09-01,32.244705,86776.95,689.87585,14958.029,9.9555435,0.3096695,employed,education,mortgage,1,0.34366393,1
2025-09-01,37.015713,71120.02,678.05365,31743.295,9.147555,0.1844992,unemployed,home,mortgage,1,0.7952294,0
2025-09-01,34.65484,94818.484,807.28125,10707.121,15.283102,0.3355821,employed,personal,mortgage,0,0.5471187,0
2025-09-01,40.31051,106230.02,736.3889,46115.78,2.5,0.16740526,employed,personal,mortgage,0,0.20061925,0
2025-09-01,54.791763,61269.1,592.52985,23255.057,9.6168165,0.24976166,employed,personal,own,1,0.44501287,1
2025-09-01,43.884583,98677.164,704.12476,24992.434,9.410095,0.2140478,employed,auto,rent,0,0.08096643,0
2025-09-01,40.096382,50886.605,582.85144,25970.27,10.775874,0.20894568,unemployed,home,mortgage,0,0.14222738,0
2025-09-01,29.572155,78091.305,717.948,37986.168,8.260121,0.19163452,employed,auto,own,0,0.5014186,0
2025-09-01,21.903805,53077.598,618.4788,32628.582,17.464718,0.19811258,self_employed,home,own,0,0.660404,0
2025-09-01,36.164307,25404.123,645.3821,1000.0,12.540046,0.29277343,employed,education,mortgage,0,0.10041997,0
2025-09-01,41.35461,97668.414,709.1672,28187.725,9.590363,0.52291626,employed,education,own,1,0.692058,1
2025-09-01,63.21516,43234.785,593.47766,9918.402,12.365017,0.13172431,employed,business,mortgage,1,0.38673177,1
2025-09-01,43.563293,51193.2,732.71533,42270.855,10.605816,0.39742592,employed,education,rent,1,0.52845734,1
2025-09-01,53.792873,61834.703,660.20654,27775.152,9.533113,0.2966854,employed,personal,mortgage,1,0.5779501,1
2025-09-01,36.008453,125143.44,631.34717,16564.787,9.158852,0.35367522,employed,personal,mortgage,0,0.23917404,0
2025-09-01,27.780674,117441.17,651.977,28682.14,11.310256,0.3991147,employed,personal,mortgage,0,0.5848228,0
2025-09-01,30.418598,24904.846,629.87274,33200.45,2.7771325,0.5583014,employed,home,mortgage,1,0.54018044,1
2025-09-01,33.297287,37312.555,628.6379,1000.0,13.76526,0.16589165,self_employed,education,rent,1,0.6403927,1
2025-09-01,67.54163,124529.555,697.2108,12154.919,8.228085,0.3824251,unemployed,business,mortgage,0,0.631259,0
2025-09-01,32.14336,133196.17,815.1891,21142.19,10.8579035,0.26935396,employed,education,mortgage,0,0.122139096,0
2025-09-01,52.06187,85395.33,733.4702,34162.7,8.048011,0.40712562,self_employed,auto,rent,0,0.2313532,0
2025-09-01,31.164873,75842.05,642.5922,42951.953,2.5,0.32637084,employed,personal,mortgage,1,0.4100002,1
2025-09-01,53.178875,70252.2,655.73456,42344.484,12.455863,0.16723762,employed,personal,rent,0,0.2799578,0
2025-09-01,46.61941,65857.11,587.45996,17320.592,11.14126,0.4411871,employed,business,mortgage,0,0.35799703,0
2025-09-01,40.120346,37054.242,674.0765,10476.441,5.7968974,0.37553942,employed,auto,rent,0,0.36057618,0
2025-09-01,41.51085,95166.19,659.90784,5647.223,12.909452,0.27998334,self_employed,auto,own,0,0.23578744,0
2025-09-01,34.142548,45606.15,646.56335,28687.639,6.0037613,0.5723642,employed,auto,mortgage,0,0.070920244,1
2025-09-01,47.352867,90285.12,729.38544,23221.027,8.846377,0.074124426,employed,auto,rent,1,0.68261135,1
2025-09-01,36.5402,72963.43,671.98517,22382.062,4.23442,0.17195705,unemployed,home,rent,1,0.6511562,1
2025-09-01,27.29273,102658.87,712.7709,24889.646,13.088103,0.32594588,employed,personal,mortgage,0,0.46678934,0
2025-09-01,26.66475,52802.15,722.7773,37126.727,13.911753,0.5458887,employed,personal,mortgage,0,0.55881923,0
2025-09-01,44.071056,36264.008,694.36804,27327.508,13.203592,0.26907128,self_employed,auto,rent,1,0.9104044,1
2025-09-01,60.949097,43677.992,707.2029,26419.742,11.041204,0.18067157,employed,home,own,1,0.51557326,1
2025-09-01,43.9199,71396.8,682.2973,1000.0,15.421462,0.33257607,employed,auto,rent,0,0.8046469,0
2025-09-01,40.57634,67649.97,749.91315,3189.8093,7.7284765,0.3180371,unemployed,auto,mortgage,0,0.14357306,0
2025-09-01,45.429913,36094.543,737.6003,1706.8438,8.390455,0.25652787,employed,education,own,1,0.64130574,1
2025-09-01,57.67202,57071.414,637.898,30224.582,10.449508,0.22455491,unemployed,home,rent,0,0.12045948,0
2025-09-01,44.63259,74200.94,781.25433,37761.99,10.232803,0.44277537,employed,auto,mortgage,0,0.35143533,0
2025-09-01,37.068874,91790.74,673.45013,20800.139,8.55485,0.51955116,employed,personal,mortgage,0,0.27395838,0
2025-09-01,55.275463,71361.29,695.2636,1000.0,6.008444,0.3322179,employed,auto,mortgage,0,0.30247876,0
2025-09-01,47.145077,91644.42,719.1225,43136.87,11.286333,0.20269579,employed,auto,mortgage,0,0.105783105,0
2025-09-01,60.429073,73182.16,762.3149,19428.771,12.420999,0.46106133,self_employed,education,rent,1,0.71065265,1
2025-09-01,44.198814,73346.984,731.21204,22112.184,8.299848,0.2653715,employed,personal,mortgage,0,0.44384846,0
2025-09-01,27.306372,86008.61,708.472,1000.0,15.565395,0.18406156,employed,personal,rent,1,0.5746714,1
2025-09-01,25.58209,38620.29,673.3061,15426.3545,4.4458623,0.2649019,employed,personal,own,0,0.3561086,0
2025-09-01,61.811134,124831.21,603.88715,25973.281,3.1283603,0.13809153,employed,education,own,0,0.5529878,0
2025-09-01,62.68399,74170.21,776.2052,48829.15,9.150409,0.61597085,unemployed,education,mortgage,0,0.25690848,0
2025-09-01,39.845768,69535.89,750.3649,54105.96,10.156452,0.47280943,employed,home,mortgage,0,0.43388823,0
2025-09-01,37.401752,78975.14,664.2065,9351.676,8.419185,0.1744247,employed,personal,own,0,0.40254098,0
2025-09-01,59.53733,103899.26,729.40063,35335.023,7.479586,0.17812814,employed,personal,own,1,0.83695084,1
2025-09-01,28.715452,83645.44,647.1453,4518.38,15.530726,0.27850989,self_employed,education,mortgage,0,0.44067362,0
2025-09-01,31.263275,89840.89,763.0525,31897.172,8.584124,0.09321641,employed,personal,mortgage,0,0.306152,0
2025-09-01,49.71992,74489.28,786.58295,17723.133,14.037876,0.3855403,employed,personal,mortgage,1,0.40775087,1
2025-09-01,37.26474,41731.055,784.25757,20535.29,9.123996,0.3525003,employed,auto,mortgage,0,0.50128603,0
2025-09-01,41.938538,12000.0,762.8148,24089.008,11.144478,0.44387782,employed,home,rent,0,0.3763495,0
2025-09-01,40.038685,95226.57,717.2701,18187.752,8.281089,0.19158243,self_employed,education,mortgage,1,0.66173196,1
2025-09-01,46.050896,100253.71,780.5469,19976.227,12.202593,0.05,employed,personal,mortgage,0,0.37773272,0
2025-09-01,58.889782,38453.055,705.143,1000.0,12.838228,0.19509143,employed,education,mortgage,1,0.7891133,1
2025-09-01,43.087017,35125.62,526.57556,47669.492,3.0760095,0.11316458,employed,personal,own,0,0.4502507,0
2025-09-01,49.727264,39219.93,625.4348,26254.123,9.3082695,0.35458678,employed,home,mortgage,0,0.22437257,0
2025-09-01,18.0,54046.523,613.9794,11794.091,7.2036376,0.38125205,employed,education,mortgage,1,0.60514385,1
2025-09-01,41.41538,45272.543,700.90625,48153.06,7.0365934,0.2603791,self_employed,auto,rent,0,0.68438464,0
2025-09-01,31.881237,74132.67,753.63184,18661.816,5.479469,0.18951263,employed,home,own,0,0.6855493,0
2025-09-01,27.374243,75062.36,667.3369,28056.584,9.120103,0.4048821,employed,personal,own,0,0.33540735,0
2025-09-01,31.462172,71683.73,714.3065,36588.047,6.224012,0.26309744,unemployed,auto,own,0,0.1139495,0
2025-09-01,37.99052,55503.074,669.5798,20183.293,7.4278817,0.30673552,employed,home,mortgage,1,0.7749872,1
2025-09-01,52.99083,44604.004,784.79846,1000.0,13.8884535,0.3717549,employed,home,mortgage,0,0.2600642,0
2025-09-01,26.083288,28554.959,696.08026,22101.387,11.43491,0.3284241,employed,home,rent,1,0.71310055,1
2025-09-01,42.367577,53801.27,596.8352,55905.688,14.179565,0.298553,employed,business,mortgage,1,0.5797766,1
2025-09-01,36.18997,87499.81,674.8828,33763.805,10.931828,0.2867088,employed,auto,rent,0,0.5169701,0
2025-09-01,38.067924,24343.105,677.0144,20157.955,8.914004,0.23548107,employed,auto,mortgage,1,0.56651616,1
2025-09-01,54.033092,67770.664,685.0648,32009.75,11.547622,0.55346835,employed,personal,mortgage,0,0.31579548,0
2025-09-01,48.457386,40082.17,648.59644,11289.602,13.045397,0.2565294,employed,home,own,0,0.40353134,0
2025-09-01,58.04878,33278.992,742.1177,11474.052,12.249015,0.1825497,unemployed,home,mortgage,1,0.7796625,1
2025-09-01,40.14593,96783.53,787.36365,55898.668,8.745553,0.20253728,unemployed,business,own,0,0.266668,0
2025-09-01,33.64869,104252.63,658.3502,20725.795,11.6357355,0.28353515,employed,auto,mortgage,0,0.10103835,0
2025-09-01,39.313694,83771.836,641.5791,22673.973,7.715765,0.23599015,unemployed,personal,rent,1,0.79171294,1
2025-09-01,44.90996,36504.45,681.8863,19130.848,5.9137926,0.45065472,employed,education,rent,0,0.20432127,1
2025-09-01,44.11888,93234.15,742.0885,34661.78,7.7001357,0.22746654,employed,auto,own,1,0.76613766,1
2025-09-01,28.987343,90645.88,617.7175,8947.877,10.197671,0.26664975,employed,personal,mortgage,0,0.7176947,0
2025-09-01,43.085876,125837.41,782.2979,55570.367,10.850311,0.54019403,employed,personal,mortgage,1,0.60274816,1
2025-09-01,44.73874,54964.69,658.8207,14117.634,13.660545,0.26608133,employed,home,mortgage,0,0.26267678,0
2025-09-01,72.20969,80455.31,654.4274,46257.66,8.473529,0.27333167,employed,home,rent,0,0.094175376,0
2025-09-01,64.52213,45017.473,722.9208,40121.266,12.934148,0.23265313,unemployed,personal,own,0,0.21761478,0
2025-09-01,31.76108,16769.152,542.4777,39238.883,4.29058,0.24577609,unemployed,auto,mortgage,0,0.5718827,0
2025-09-01,38.5514,18670.473,759.7363,37861.203,10.3577585,0.28683975,employed,personal,own,0,0.09866495,0
2025-09-01,24.438696,71638.97,850.0,30777.316,9.783331,0.22285211,unemployed,auto,mortgage,0,0.31309316,0
2025-09-01,34.911514,49269.65,815.66925,24096.797,11.622878,0.3759492,self_employed,home,mortgage,1,0.76131827,1
2025-09-01,45.78726,84640.02,745.7254,34602.805,9.911314,0.33031955,employed,personal,mortgage,0,0.13068624,0
2025-09-01,56.47024,88174.36,755.4521,35743.938,5.0870185,0.14085102,employed,personal,mortgage,1,0.6889955,1
2025-09-01,33.250996,70610.65,685.52344,1000.0,12.4798,0.24786551,employed,personal,rent,0,0.44809818,0
2025-09-01,34.15024,26747.594,688.6506,24865.68,15.276493,0.38219383,self_employed,personal,rent,0,0.4716609,0
2025-09-01,18.0,42585.71,613.0037,33969.707,6.779261,0.23451604,employed,home,mortgage,0,0.26016036,0
2025-09-01,40.048008,76814.15,650.7419,1000.0,7.8478723,0.49061617,employed,auto,mortgage,1,0.9267175,1
2025-09-01,29.251026,79630.55,629.6771,1000.0,7.3073134,0.3677818,employed,auto,mortgage,1,0.6812226,1
